fact2,myid,fact1,series1,dim1_v1,dim1_v2,dim2_v1,dim2_v2,dim2_v3,label
-21895.572583452213,0,1201.1876446144445,6000,-2.1620446409051817,-2.162503373420279,-4.369454146193603,-1.353022566681,-0.33270167526846706,outlier
-16373.517828627273,1,-433.7494970017061,6001,-2.3555391941028443,-1.8987665592531158,1.5876221189468778,-2.182462643055616,3.827619629078816,outlier
15387.801474954986,2,-1042.9365332756497,6002,-2.4191249487206172,-2.0417682670909363,2.465734708908399,-2.92637724035413,-3.6248362703107553,outlier
9403.140883515029,3,235.17847776104762,6003,-1.8675202577282795,-1.7973300000108507,0.06613152838021019,4.366877548943739,-2.0283260447418616,outlier
34922.655271277785,4,1535.0367466338691,6004,-2.5620733575215784,-2.0345650521201697,-3.4828704436950653,-4.845066659091773,-2.0704663211568173,outlier
-2059.7011805435272,5,133.8490671244726,6005,-1.936090101350381,-1.8596971292007156,-3.9481095281927714,0.7704479030311315,3.3647563277362043,outlier
-6473.8927523135635,6,44.37253772635506,6006,-1.9900173758998685,-1.6894404855870322,3.7294364935185875,-1.2620611984717058,-0.2489171637033376,outlier
11231.89789755986,7,75.74768556523999,6007,-1.7539709554369503,-1.8724277935332685,2.5317659502685856,3.4352692284394433,0.7457007233543376,outlier
-17705.787727911782,8,-827.2390691402368,6008,-2.1693689511400627,-1.9737874068915506,0.9010622775817794,0.03518933855115236,-4.435009856841584,outlier
35956.766540461605,9,176.85572312517792,6009,-2.060410815343893,-2.000649881015981,0.9394784204075677,-4.1061180273179545,-2.1722961226551387,outlier
-13453.156178983505,10,-199.9285403368001,6010,-1.4270941197148297,-2.072817829443091,-4.070817935099863,-4.608214101153964,4.691994547824908,outlier
-5770.135434014039,11,2076.630977755098,6011,-1.8818431716341568,-1.982295687910578,-2.083017545829308,0.35736578367712113,3.735123496854019,outlier
39444.07110035631,12,2004.9546128490897,6012,-2.551668516142417,-1.668043458374518,4.7648153538483555,-2.4041643703340876,3.111387792793124,outlier
-8924.366474510394,13,10.971281429469178,6013,-1.8853426832820734,-2.0958155244203427,-2.1751516796113837,3.09296735489713,-4.794019259215521,outlier
